r,p(r),s,v,p(z),z,,r,z=T(r)
163,0.00154876708984375,0.8525161743164062,0.608822812576163,0.0030465513039239583,163,,163,224
164,0.0013275146484375,0.8538436889648438,0.611869363880087,0.0030465513039239583,164,,164,225
165,0.00142669677734375,0.8552703857421875,0.6149159151840109,0.0030465513039239583,165,,165,225
166,0.00157928466796875,0.8568496704101562,0.6179624664879348,0.0030465513039239583,166,,166,225
167,0.00173187255859375,0.85858154296875,0.6210090177918588,0.0030465513039239583,167,,167,226
168,0.001483917236328125,0.8600654602050781,0.6240555690957827,0.0030465513039239583,168,,168,226
169,0.00145721435546875,0.8615226745605469,0.6271021203997067,0.0030465513039239583,169,,169,226
170,0.001430511474609375,0.8629531860351562,0.6301486717036306,0.0030465513039239583,170,,170,227
171,0.00142669677734375,0.8643798828125,0.6331952230075546,0.0030465513039239583,171,,171,227
172,0.0013427734375,0.86572265625,0.6362417743114785,0.0030465513039239583,172,,172,227
173,0.001407623291015625,0.8671302795410156,0.6392883256154025,0.0030465513039239583,173,,173,228
174,0.001415252685546875,0.8685455322265625,0.6423348769193264,0.0030465513039239583,174,,174,228
175,0.0013427734375,0.8698883056640625,0.6453814282232504,0.0030465513039239583,175,,175,228
176,0.00127410888671875,0.8711624145507812,0.6484279795271743,0.0030465513039239583,176,,176,228
177,0.001262664794921875,0.8724250793457031,0.6514745308310983,0.0030465513039239583,177,,177,229
178,0.00115966796875,0.8735847473144531,0.6545210821350222,0.0030465513039239583,178,,178,229
179,0.00119781494140625,0.8747825622558594,0.6575676334389462,0.0030465513039239583,179,,179,229
180,0.00130462646484375,0.8760871887207031,0.6606141847428701,0.0030465513039239583,180,,180,229
181,0.001186370849609375,0.8772735595703125,0.6636607360467941,0.0030465513039239583,181,,181,230
182,0.001270294189453125,0.8785438537597656,0.666707287350718,0.0030465513039239583,182,,182,230
183,0.00128936767578125,0.8798332214355469,0.669753838654642,0.0030465513039239583,183,,183,230
184,0.001148223876953125,0.8809814453125,0.672800389958566,0.0030465513039239583,184,,184,230
185,0.001331329345703125,0.8823127746582031,0.6758469412624899,0.0030465513039239583,185,,185,231
186,0.001232147216796875,0.883544921875,0.6788934925664138,0.0030465513039239583,186,,186,231
187,0.001251220703125,0.884796142578125,0.6819400438703378,0.0030465513039239583,187,,187,231
188,0.00121307373046875,0.8860092163085938,0.6849865951742617,0.0030465513039239583,188,,188,232
189,0.001224517822265625,0.8872337341308594,0.6880331464781857,0.0030465513039239583,189,,189,232
190,0.001251220703125,0.8884849548339844,0.6910796977821096,0.0030465513039239583,190,,190,232
191,0.00130462646484375,0.8897895812988281,0.695832317816231,0.004752620034121375,191,,191,232
192,0.00122833251953125,0.8910179138183594,0.7005849378503524,0.004752620034121375,192,,192,233
193,0.001056671142578125,0.8920745849609375,0.7053375578844737,0.004752620034121375,193,,193,233
194,0.001186370849609375,0.8932609558105469,0.7100901779185951,0.004752620034121375,194,,194,233
195,0.001079559326171875,0.8943405151367188,0.7148427979527164,0.004752620034121375,195,,195,233
196,0.001102447509765625,0.8954429626464844,0.7195954179868378,0.004752620034121375,196,,196,234
197,0.001049041748046875,0.8964920043945312,0.7243480380209592,0.004752620034121375,197,,197,234
198,0.00102996826171875,0.89752197265625,0.7291006580550805,0.004752620034121375,198,,198,234
199,0.00086212158203125,0.8983840942382812,0.7338532780892019,0.004752620034121375,199,,199,234
200,0.000949859619140625,0.8993339538574219,0.7386058981233232,0.004752620034121375,200,,200,234
201,0.0008392333984375,0.9001731872558594,0.7433585181574446,0.004752620034121375,201,,201,234
202,0.0009002685546875,0.9010734558105469,0.7481111381915659,0.004752620034121375,202,,202,235
203,0.000797271728515625,0.9018707275390625,0.7528637582256873,0.004752620034121375,203,,203,235
204,0.000728607177734375,0.9025993347167969,0.7576163782598087,0.004752620034121375,204,,204,235
205,0.000789642333984375,0.9033889770507812,0.76236899829393,0.004752620034121375,205,,205,235
206,0.000751495361328125,0.9041404724121094,0.7671216183280514,0.004752620034121375,206,,206,235
207,0.0006103515625,0.9047508239746094,0.7718742383621727,0.004752620034121375,207,,207,235
208,0.000690460205078125,0.9054412841796875,0.7766268583962941,0.004752620034121375,208,,208,236
209,0.000606536865234375,0.9060478210449219,0.7813794784304154,0.004752620034121375,209,,209,236
210,0.00058746337890625,0.9066352844238281,0.7861320984645368,0.004752620034121375,210,,210,236
211,0.00048828125,0.9071235656738281,0.7908847184986582,0.004752620034121375,211,,211,236
212,0.000568389892578125,0.9076919555664062,0.7956373385327795,0.004752620034121375,212,,212,236
213,0.00043487548828125,0.9081268310546875,0.8003899585669009,0.004752620034121375,213,,213,236
214,0.0004730224609375,0.908599853515625,0.8051425786010222,0.004752620034121375,214,,214,236
215,0.00054931640625,0.909149169921875,0.8098951986351436,0.004752620034121375,215,,215,236
216,0.00054168701171875,0.9096908569335938,0.814647818669265,0.004752620034121375,216,,216,236
217,0.0005340576171875,0.9102249145507812,0.8194004387033863,0.004752620034121375,217,,217,237
218,0.00040435791015625,0.9106292724609375,0.8241530587375077,0.004752620034121375,218,,218,237
219,0.0004425048828125,0.91107177734375,0.828905678771629,0.004752620034121375,219,,219,237
220,0.000438690185546875,0.9115104675292969,0.8336582988057504,0.004752620034121375,220,,220,237
221,0.00040435791015625,0.9119148254394531,0.8384109188398717,0.004752620034121375,221,,221,237
222,0.000461578369140625,0.9123764038085938,0.8431635388739931,0.004752620034121375,222,,222,237
223,0.000507354736328125,0.9128837585449219,0.8479161589081144,0.004752620034121375,223,,223,237
224,0.00051116943359375,0.9133949279785156,0.8526687789422358,0.004752620034121375,224,,224,237
225,0.000469207763671875,0.9138641357421875,0.8574213989763572,0.004752620034121375,225,,225,237
226,0.0004425048828125,0.914306640625,0.8621740190104785,0.004752620034121375,226,,226,237
227,0.0004730224609375,0.9147796630859375,0.8669266390445999,0.004752620034121375,227,,227,238
228,0.000408172607421875,0.9151878356933594,0.8716792590787212,0.004752620034121375,228,,228,238
229,0.000453948974609375,0.9156417846679688,0.8764318791128426,0.004752620034121375,229,,229,238
230,0.000377655029296875,0.9160194396972656,0.881184499146964,0.004752620034121375,230,,230,238
231,0.000408172607421875,0.9164276123046875,0.8859371191810853,0.004752620034121375,231,,231,238
232,0.000385284423828125,0.9168128967285156,0.8906897392152067,0.004752620034121375,232,,232,238
233,0.000431060791015625,0.9172439575195312,0.895442359249328,0.004752620034121375,233,,233,238
234,0.000331878662109375,0.9175758361816406,0.9001949792834494,0.004752620034121375,234,,234,238
235,0.00035858154296875,0.9179344177246094,0.9049475993175707,0.004752620034121375,235,,235,238
236,0.000370025634765625,0.918304443359375,0.9097002193516921,0.004752620034121375,236,,236,238
237,0.00038909912109375,0.9186935424804688,0.9144528393858135,0.004752620034121375,237,,237,238
238,0.00034332275390625,0.919036865234375,0.9192054594199348,0.004752620034121375,238,,238,238
239,0.00035858154296875,0.9193954467773438,0.9239580794540562,0.004752620034121375,239,,239,239
